finish get ip address
start KMedians ...
t: 0 em: ([1.0, 0, 0], [[1.0, 0, 0], [0, 0, 0], [0, 0, 0]], [1.0, 0, 0])
t: 1 em: ([1.0, 0, 0], [[1.0, 0, 0], [0, 0, 0], [0, 0, 0]], [1.0, 0, 0])
t: 2 em: ([1.0, 0, 0], [[1.0, 0, 0], [0, 0, 0], [0, 0, 0]], [1.0, 0, 0])
t: 3 em: ([1.0, 0, 0], [[1.0, 0, 0], [0, 0, 0], [0, 0, 0]], [1.0, 0, 0])
t: 4 em: ([1.0, 0, 0], [[1.0, 0, 0], [0, 0, 0], [0, 0, 0]], [1.0, 0, 0])
t: 5 em: ([1.0, 0, 0], [[1.0, 0, 0], [0, 0, 0], [0, 0, 0]], [1.0, 0, 0])
t: 6 em: ([1.0, 0, 0], [[1.0, 0, 0], [0, 0, 0], [0, 0, 0]], [1.0, 0, 0])
t: 7 em: ([1.0, 0, 0], [[1.0, 0, 0], [0, 0, 0], [0, 0, 0]], [1.0, 0, 0])
t: 8 em: ([1.0, 0, 0], [[1.0, 0, 0], [0, 0, 0], [0, 0, 0]], [1.0, 0, 0])
t: 9 em: ([1.0, 0, 0], [[1.0, 0, 0], [0, 0, 0], [0, 0, 0]], [1.0, 0, 0])
t: 10 em: ([1.0, 0, 0], [[1.0, 0, 0], [0, 0, 0], [0, 0, 0]], [1.0, 0, 0])
t: 11 em: ([1.0, 0, 0], [[1.0, 0, 0], [0, 0, 0], [0, 0, 0]], [1.0, 0, 0])
t: 12 em: ([1.0, 0, 0], [[1.0, 0, 0], [0, 0, 0], [0, 0, 0]], [1.0, 0, 0])
t: 13 em: ([1.0, 0, 0], [[1.0, 0, 0], [0, 0, 0], [0, 0, 0]], [1.0, 0, 0])
t: 14 em: ([1.0, 0, 0], [[1.0, 0, 0], [0, 0, 0], [0, 0, 0]], [1.0, 0, 0])
t: 15 em: ([1.0, 0, 0], [[1.0, 0, 0], [0, 0, 0], [0, 0, 0]], [1.0, 0, 0])
t: 16 em: ([1.0, 0, 0], [[1.0, 0, 0], [0, 0, 0], [0, 0, 0]], [1.0, 0, 0])
t: 17 em: ([1.0, 0, 0], [[1.0, 0, 0], [0, 0, 0], [0, 0, 0]], [1.0, 0, 0])
t: 18 em: ([1.0, 0, 0], [[1.0, 0, 0], [0, 0, 0], [0, 0, 0]], [1.0, 0, 0])
t: 19 em: ([1.0, 0, 0], [[1.0, 0, 0], [0, 0, 0], [0, 0, 0]], [1.0, 0, 0])
t: 20 em: ([1.0, 0, 0], [[1.0, 0, 0], [0, 0, 0], [0, 0, 0]], [1.0, 0, 0])
t: 21 em: ([1.0, 0, 0], [[1.0, 0, 0], [0, 0, 0], [0, 0, 0]], [1.0, 0, 0])
t: 22 em: ([1.0, 0, 0], [[1.0, 0, 0], [0, 0, 0], [0, 0, 0]], [1.0, 0, 0])
t: 23 em: ([0.9863013698630136, 0.0136986301369863, 0], [[0.9722222222222222, 0.013888888888888888, 0], [0.013888888888888888, 0, 0], [0, 0, 0]], [0.9863013698630136, 0.0136986301369863, 0])
t: 24 em: ([0.9885057471264368, 0.011494252873563218, 0], [[0.9767441860465116, 0.011627906976744186, 0], [0.011627906976744186, 0, 0], [0, 0, 0]], [0.9885057471264368, 0.011494252873563218, 0])
t: 25 em: ([1.0, 0, 0], [[1.0, 0, 0], [0, 0, 0], [0, 0, 0]], [1.0, 0, 0])
t: 26 em: ([1.0, 0, 0], [[1.0, 0, 0], [0, 0, 0], [0, 0, 0]], [1.0, 0, 0])
t: 27 em: ([1.0, 0, 0], [[1.0, 0, 0], [0, 0, 0], [0, 0, 0]], [1.0, 0, 0])
t: 28 em: ([0.9242424242424242, 0.07575757575757576, 0], [[0.8461538461538461, 0.07692307692307693, 0], [0.07692307692307693, 0, 0], [0, 0, 0]], [0.9242424242424242, 0.07575757575757576, 0])
t: 29 em: ([0.9850746268656716, 0.014925373134328358, 0], [[0.9696969696969697, 0.015151515151515152, 0], [0.015151515151515152, 0, 0], [0, 0, 0]], [0.9850746268656716, 0.014925373134328358, 0])
t: 30 em: ([0.9518072289156626, 0.04819277108433735, 0], [[0.9024390243902439, 0.04878048780487805, 0], [0.04878048780487805, 0, 0], [0, 0, 0]], [0.9518072289156626, 0.04819277108433735, 0])
t: 31 em: ([0.9315068493150684, 0.0684931506849315, 0], [[0.8611111111111112, 0.06944444444444445, 0], [0.06944444444444445, 0, 0], [0, 0, 0]], [0.9315068493150684, 0.0684931506849315, 0])
t: 32 em: ([0.9, 0.1, 0], [[0.8135593220338984, 0.0847457627118644, 0], [0.0847457627118644, 0.01694915254237288, 0], [0, 0, 0]], [0.9, 0.1, 0])
t: 33 em: ([0.84, 0.16, 0], [[0.6891891891891891, 0.16216216216216217, 0], [0.14864864864864866, 0, 0], [0, 0, 0]], [0.84, 0.16, 0])
t: 34 em: ([0.8571428571428571, 0.14285714285714285, 0], [[0.7368421052631579, 0.11842105263157894, 0], [0.11842105263157894, 0.02631578947368421, 0], [0, 0, 0]], [0.8571428571428571, 0.14285714285714285, 0])
t: 35 em: ([0.7727272727272727, 0.22727272727272727, 0], [[0.6307692307692307, 0.15384615384615385, 0], [0.15384615384615385, 0.06153846153846154, 0], [0, 0, 0]], [0.7727272727272727, 0.22727272727272727, 0])
t: 36 em: ([0.7631578947368421, 0.23684210526315788, 0], [[0.5733333333333334, 0.2, 0], [0.18666666666666668, 0.04, 0], [0, 0, 0]], [0.7631578947368421, 0.23684210526315788, 0])
t: 37 em: ([0.8266666666666667, 0.17333333333333334, 0], [[0.6756756756756757, 0.14864864864864866, 0], [0.14864864864864866, 0.02702702702702703, 0], [0, 0, 0]], [0.8266666666666667, 0.17333333333333334, 0])
t: 38 em: ([0.6666666666666666, 0.3333333333333333, 0], [[0.4084507042253521, 0.2535211267605634, 0], [0.2535211267605634, 0.08450704225352113, 0], [0, 0, 0]], [0.6666666666666666, 0.3333333333333333, 0])
t: 39 em: ([0.7605633802816901, 0.23943661971830985, 0], [[0.6, 0.15714285714285714, 0], [0.15714285714285714, 0.08571428571428572, 0], [0, 0, 0]], [0.7605633802816901, 0.23943661971830985, 0])
t: 40 em: ([0.5606060606060606, 0.4393939393939394, 0], [[0.26153846153846155, 0.2923076923076923, 0], [0.3076923076923077, 0.13846153846153847, 0], [0, 0, 0]], [0.5606060606060606, 0.4393939393939394, 0])
t: 41 em: ([0.5652173913043478, 0.43478260869565216, 0], [[0.3088235294117647, 0.2647058823529412, 0], [0.2647058823529412, 0.16176470588235295, 0], [0, 0, 0]], [0.5652173913043478, 0.43478260869565216, 0])
t: 42 em: ([0.575, 0.425, 0], [[0.31645569620253167, 0.25316455696202533, 0], [0.26582278481012656, 0.16455696202531644, 0], [0, 0, 0]], [0.575, 0.425, 0])
t: 43 em: ([0.625, 0.375, 0], [[0.34177215189873417, 0.27848101265822783, 0], [0.27848101265822783, 0.10126582278481013, 0], [0, 0, 0]], [0.625, 0.375, 0])
t: 44 em: ([0.4936708860759494, 0.5063291139240507, 0], [[0.23076923076923078, 0.2564102564102564, 0], [0.2564102564102564, 0.2564102564102564, 0], [0, 0, 0]], [0.4936708860759494, 0.5063291139240507, 0])
t: 45 em: ([0.3698630136986301, 0.6301369863013698, 0], [[0.09722222222222222, 0.2777777777777778, 0], [0.2638888888888889, 0.3611111111111111, 0], [0, 0, 0]], [0.3698630136986301, 0.6301369863013698, 0])
t: 46 em: ([0.390625, 0.609375, 0], [[0.14285714285714285, 0.23809523809523808, 0], [0.25396825396825395, 0.36507936507936506, 0], [0, 0, 0]], [0.390625, 0.609375, 0])
t: 47 em: ([0.36486486486486486, 0.6351351351351351, 0], [[0.1506849315068493, 0.2191780821917808, 0], [0.2191780821917808, 0.410958904109589, 0], [0, 0, 0]], [0.36486486486486486, 0.6351351351351351, 0])
t: 48 em: ([0.2625, 0.7375, 0], [[0.06329113924050633, 0.20253164556962025, 0], [0.189873417721519, 0.5443037974683544, 0], [0, 0, 0]], [0.2625, 0.7375, 0])
t: 49 em: ([0.20270270270270271, 0.7972972972972973, 0], [[0.0547945205479452, 0.1506849315068493, 0], [0.136986301369863, 0.6575342465753424, 0], [0, 0, 0]], [0.20270270270270271, 0.7972972972972973, 0])
t: 50 em: ([0.136986301369863, 0.863013698630137, 0], [[0.013888888888888888, 0.125, 0], [0.1111111111111111, 0.75, 0], [0, 0, 0]], [0.136986301369863, 0.863013698630137, 0])
t: 51 em: ([0.16666666666666666, 0.8333333333333334, 0], [[0.04225352112676056, 0.1267605633802817, 0], [0.11267605633802817, 0.7183098591549296, 0], [0, 0, 0]], [0.16666666666666666, 0.8333333333333334, 0])
t: 52 em: ([0.15853658536585366, 0.8414634146341463, 0], [[0.024691358024691357, 0.13580246913580246, 0], [0.13580246913580246, 0.7037037037037037, 0], [0, 0, 0]], [0.15853658536585366, 0.8414634146341463, 0])
t: 53 em: ([0.140625, 0.859375, 0], [[0.015873015873015872, 0.12698412698412698, 0], [0.12698412698412698, 0.7301587301587301, 0], [0, 0, 0]], [0.140625, 0.859375, 0])
t: 54 em: ([0.11428571428571428, 0.8857142857142857, 0], [[0.014492753623188406, 0.10144927536231885, 0], [0.10144927536231885, 0.782608695652174, 0], [0, 0, 0]], [0.11428571428571428, 0.8857142857142857, 0])
t: 55 em: ([0.11267605633802817, 0.8873239436619719, 0], [[0.02857142857142857, 0.08571428571428572, 0], [0.08571428571428572, 0.8, 0], [0, 0, 0]], [0.11267605633802817, 0.8873239436619719, 0])
t: 56 em: ([0.0967741935483871, 0.9032258064516129, 0], [[0, 0.09836065573770492, 0], [0.09836065573770492, 0.8032786885245902, 0], [0, 0, 0]], [0.0967741935483871, 0.9032258064516129, 0])
t: 57 em: ([0.028169014084507043, 0.971830985915493, 0], [[0, 0.02857142857142857, 0], [0.02857142857142857, 0.9428571428571428, 0], [0, 0, 0]], [0.028169014084507043, 0.971830985915493, 0])
t: 58 em: ([0.013888888888888888, 0.9861111111111112, 0], [[0, 0.014084507042253521, 0], [0.014084507042253521, 0.971830985915493, 0], [0, 0, 0]], [0.013888888888888888, 0.9861111111111112, 0])
t: 59 em: ([0, 1.0, 0], [[0, 0, 0], [0, 1.0, 0], [0, 0, 0]], [0, 1.0, 0])
t: 60 em: ([0, 1.0, 0], [[0, 0, 0], [0, 1.0, 0], [0, 0, 0]], [0, 1.0, 0])
t: 61 em: ([0.01639344262295082, 0.9836065573770492, 0], [[0, 0.016666666666666666, 0], [0.016666666666666666, 0.9666666666666667, 0], [0, 0, 0]], [0.01639344262295082, 0.9836065573770492, 0])
t: 62 em: ([0, 1.0, 0], [[0, 0, 0], [0, 1.0, 0], [0, 0, 0]], [0, 1.0, 0])
t: 63 em: ([0.01282051282051282, 0.9871794871794872, 0], [[0, 0.012987012987012988, 0], [0.012987012987012988, 0.974025974025974, 0], [0, 0, 0]], [0.01282051282051282, 0.9871794871794872, 0])
t: 64 em: ([0, 1.0, 0], [[0, 0, 0], [0, 1.0, 0], [0, 0, 0]], [0, 1.0, 0])
t: 65 em: ([0, 1.0, 0], [[0, 0, 0], [0, 1.0, 0], [0, 0, 0]], [0, 1.0, 0])
t: 66 em: ([0.0125, 0.9875, 0], [[0, 0.012658227848101266, 0], [0.012658227848101266, 0.9746835443037974, 0], [0, 0, 0]], [0.0125, 0.9875, 0])
t: 67 em: ([0, 1.0, 0], [[0, 0, 0], [0, 1.0, 0], [0, 0, 0]], [0, 1.0, 0])
t: 68 em: ([0, 1.0, 0], [[0, 0, 0], [0, 1.0, 0], [0, 0, 0]], [0, 1.0, 0])
